@id,brick:inMode,brick:ofSystem/Equipment/Process,brick:hasSubstance,brick:isDifferential,brick:hasQuantity/Enumeration,rdfs:subClassOf,todo:,skos:definition
brick:Occupied_Heating_Supply_Air_Flow_Setpoint,brick:Occupied,brick:Heating,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets supply air flow rate for heating when occupied
brick:Occupied_Heating_Temperature_Deadband_Setpoint,brick:Occupied,brick:Heating,,,quantitykind:Temperature,brick:Deadband_Setpoint,,Sets the size of a deadband of temperature for heating when occupied
brick:Occupied_Heating_Temperature_Setpoint,brick:Occupied,brick:Heating,,,quantitykind:Temperature,brick:Setpoint,,Sets temperature for heating when occupied
brick:Occupied_Heating_Zone_Air_Temperature_Setpoint,brick:Occupied,brick:Heating,brick:Zone_Air,,quantitykind:Temperature,brick:Setpoint,,Sets temperature for zone air heating when occupied
brick:Occupied_Humidity_Setpoint,brick:Occupied,,,,quantitykind:RelativeHumidity,brick:Setpoint,,Target humidity level when the location is occupied.
brick:Occupied_Load_Shed_Command,brick:Occupied,brick:Load_Shed,,,,brick:Command,,
brick:Occupied_Mode_Status,brick:Occupied,,,,brick:EnumerationKind-Mode,brick:Status,,"Indicates if a system, device or control loop is in ""Occupied"" mode"
brick:Occupied_Return_Air_Temperature_Setpoint,brick:Occupied,,brick:Return_Air,,quantitykind:Temperature,brick:Setpoint,,
brick:Occupied_Room_Air_Temperature_Setpoint,brick:Occupied,,brick:Room_Air,,quantitykind:Temperature,brick:Setpoint,,
brick:Occupied_Supply_Air_Flow_Setpoint,brick:Occupied,,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets supply air flow rate when occupied
brick:Occupied_Supply_Air_Temperature_Setpoint,brick:Occupied,,brick:Supply_Air,,quantitykind:Temperature,brick:Setpoint,,
brick:Occupied_Target_Zone_Air_Temperature_Setpoint,brick:Occupied,,brick:Zone_Air,,quantitykind:Temperature,brick:Setpoint,Target,Target Setpoint (also known as Common Setpoint) is a reference point representing the desired occupied air temperature in a specific zone of a building. This setpoint acts as a baseline from which deadband setpoints are established by adding or subtracting a deadband width.
brick:Off_Command,,,,,brick:On_Off-Off,brick:Command,,"An Off Command controls or reports the binary 'off' status of a control loop, relay or equipment activity. It can only be used to stop/deactivate an associated equipment or process, or determine that the related entity is 'off'"
brick:Off_Status,,,,,brick:On_Off-Off,brick:Status,,"Indicates if a control loop, relay or equipment is off"
brick:On_Command,,,,,brick:On_Off-On,brick:Command,,"An On Command controls or reports the binary 'on' status of a control loop, relay or equipment activity. It can only be used to start/activate an associated equipment or process, or determine that the related entity is 'on'"
brick:On_Off_Command,,,,,brick:EnumerationKind-On_Off,brick:Command,,"An On/Off Command controls or reports the binary status of a control loop, relay or equipment activity"
brick:On_Off_Status,,,,,brick:EnumerationKind-On_Off,brick:Status,,"Indicates the on/off status of a control loop, relay or equipment"
brick:On_Status,,,,,brick:On_Off-On,brick:Status,,"Indicates if a control loop, relay or equipment is on"
brick:On_Timer_Sensor,,,,,,,(deprecated),"Measures the duration for which a device was in an active or ""on"" state"
brick:Open_Close_Command,,,,,brick:EnumerationKind-Open_Close,brick:Command,,"A binary signal given to a device, such as a damper or valve, to either open or close"
brick:Open_Close_Status,,,,,brick:EnumerationKind-Open_Close,brick:Status,,Indicates the open/close status of a device such as a damper or valve
brick:Open_Heating_Valve_Outside_Air_Temperature_Setpoint,,,,,,,(deprecated),
brick:Operating_Mode_Status,,,,,brick:EnumerationKind-Operating_Mode,brick:Status,,"Indicates the current operating mode of a system, device or control loop"
brick:Output_Frequency_Sensor,,,,,,,(deprecated),
brick:Output_Voltage_Sensor,,,,,,,(deprecated),Measures the voltage output by some process or device
brick:Outside_Air_CO_Sensor,,,brick:Outside_Air,,,brick:Sensor,CO,Measures the concentration of CO in outside air
brick:Outside_Air_CO2_Sensor,,,brick:Outside_Air,,,brick:Sensor,CO2,Measures the concentration of CO2 in outside air
brick:Outside_Air_Dewpoint_Sensor,,,brick:Outside_Air,,quantitykind:DewPointTemperature,brick:Sensor,,Senses the dewpoint temperature of outside air
brick:Outside_Air_Enthalpy_Sensor,,,brick:Outside_Air,,quantitykind:Enthalpy,brick:Sensor,,Measures the total heat content of outside air
brick:Outside_Air_Flow_Sensor,,,brick:Outside_Air,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of outside air into the system
brick:Outside_Air_Flow_Setpoint,,,brick:Outside_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets outside air flow rate
brick:Outside_Air_Grains_Sensor,,,brick:Outside_Air,,,brick:Sensor,Grains,Measures the mass of water vapor in outside air
brick:Outside_Air_Humidity_Sensor,,,brick:Outside_Air,,quantitykind:RelativeHumidity,brick:Sensor,,Measures the relative humidity of outside air
brick:Outside_Air_Humidity_Setpoint,,,brick:Outside_Air,,quantitykind:RelativeHumidity,brick:Setpoint,,Humidity setpoint for outside air
brick:Outside_Air_Lockout_Temperature_Differential_Parameter,,,,,,,(deprecated),
brick:Outside_Air_Lockout_Temperature_Setpoint,,,,,,,(deprecated),
brick:Outside_Air_Temperature_Enable_Differential_Sensor,,,,,,,(deprecated),
brick:Outside_Air_Temperature_High_Reset_Setpoint,,,brick:Outside_Air,,quantitykind:Temperature,brick:High_Reset_Setpoint,,
brick:Outside_Air_Temperature_Low_Reset_Setpoint,,,brick:Outside_Air,,quantitykind:Temperature,brick:Low_Reset_Setpoint,,
brick:Outside_Air_Temperature_Sensor,,,brick:Outside_Air,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of outside air
brick:Outside_Air_Temperature_Setpoint,,,brick:Outside_Air,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of outside air
brick:Outside_Air_Wet_Bulb_Temperature_Sensor,,,brick:Outside_Air,,quantitykind:WetBulbTemperature,brick:Sensor,,A sensor measuring the wet-bulb temperature of outside air
brick:Outside_Face_Surface_Temperature_Sensor,,,,,quantitykind:Temperature,brick:Sensor,Outside Face Surface,Measures the outside surface (relative to the space) of the radiant panel of a radiant heating and cooling HVAC system.
brick:Outside_Face_Surface_Temperature_Setpoint,,,,,quantitykind:Temperature,brick:Setpoint,Outside Face Surface,Sets temperature for the outside face surface temperature of the radiant panel.
brick:Outside_Illuminance_Sensor,,,,,,,(deprecated),"Measures the total luminous flux incident on an outside, per unit area"
brick:Overload_Alarm,,,,,,,(deprecated),An alarm that can indicate when a full-load current is exceeded.
brick:Overridden_Off_Status,,,,,,,(deprecated),"Indicates if a control loop, relay or equipment has been turned off when it would otherwise be scheduled to be on"
brick:Overridden_On_Status,,,,,,,(deprecated),"Indicates if a control loop, relay or equipment has been turned on when it would otherwise be scheduled to be off"
brick:Overridden_Status,,,,,,,(deprecated),Indicates if the expected operating status of an equipment or control loop has been overridden
brick:Override_Command,,,,,,,(deprecated),Controls or reports whether or not a device or control loop is in 'override'
brick:Ozone_Level_Sensor,,,brick:O3,,,brick:Sensor,Level,Measures the concentration of ozone in air
brick:Parameter,,,,,,brick:Parameter,,Parameter points are configuration settings used to guide the operation of equipment and control systems; for example they may provide bounds on valid setpoint values
brick:Particulate_Matter_Sensor,,,brick:Particulate_Matter,,,brick:Sensor,,Detects pollutants in the ambient air
brick:Peak_Demand_Sensor,,,,,,,(deprecated),The peak power consumed by a process over some period of time
brick:Photovoltaic_Current_Output_Sensor,,,,,,,(deprecated),Senses the amperes of electrical current produced as output by a photovoltaic device
brick:PID_Parameter,,,,,,brick:PID_Parameter,,
brick:Piezoelectric_Sensor,,,,,,,(deprecated),"Senses changes pressure, acceleration, temperature, force or strain via the piezoelectric effect"
brick:PIR_Sensor,,,,,,,(deprecated),Detects the presense of motion in some area using the differential change in infrared intensity between two or more receptors
brick:PM1_Level_Sensor,,,brick:PM1.0,,,brick:Sensor,Level,Detects level of particulates of size 1 microns
brick:PM1_Sensor,,,brick:PM1.0,,,brick:Sensor,,Detects matter of size 1 micron
brick:PM10_Level_Sensor,,,brick:PM10.0,,,brick:Sensor,Level,Detects level of particulates of size 10 microns
brick:PM10_Sensor,,,brick:PM10.0,,,brick:Sensor,,Detects matter of size 10 microns
brick:PM2.5_Level_Sensor,,,brick:PM2.5,,,brick:Sensor,Level,Detects level of particulates of size 2.5 microns
brick:PM2.5_Sensor,,,brick:PM2.5,,,brick:Sensor,,Detects matter of size 2.5 microns
brick:Position_Command,,,,,,brick:Command,Position,Controls or reports the position of some object
brick:Position_Limit,,,,,,brick:Limit,Position,A parameter that places a lower or upper bound on the range of permitted values of a Position_Setpoint.
brick:Position_Sensor,,,,,,brick:Sensor,Position,Measures the current position of a component in terms of a fraction of its full range of motion
brick:Power_Alarm,,,,,quantitykind:Power,brick:Alarm,,An alarm that indicates the off-normal conditions associated with electrical power.
brick:Power_Factor_Sensor,,,,,quantitykind:PowerFactor,brick:Sensor,,"Sensors measuring power Factor, under periodic conditions, is the ratio of the absolute value of the active power (P) to the apparent power (S)."
brick:Power_Loss_Alarm,,,,,quantitykind:Power,brick:Loss_Alarm,,An alarm that indicates a power failure.
brick:Power_Sensor,,,,,quantitykind:Power,brick:Sensor,,Measures the amount of instantaneous power consumed
brick:Pre_Filter_Status,,brick:Pre_Filter,,,,brick:Status,,Indicates if a prefilter needs to be replaced
brick:Preheat_Command,,brick:Preheat,,,,brick:Command,,A command to activate preheating. Typically used to preheat cool air coming from a mixing box or economizer
brick:Preheat_Demand_Setpoint,,brick:Preheat,,,,brick:Demand_Setpoint,,Sets the rate required for preheat
brick:Preheat_Discharge_Air_Temperature_Sensor,,brick:Preheat,brick:Discharge_Air,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of discharge air before heating is applied
brick:Preheat_Supply_Air_Temperature_Sensor,,brick:Preheat,brick:Supply_Air,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of supply air before it is heated
brick:Pressure_Alarm,,,,,quantitykind:Pressure,brick:Alarm,,An alarm that indicates the off-normal conditions associated with pressure.
brick:Pressure_Sensor,,,,,quantitykind:Pressure,brick:Sensor,,Measure the amount of force acting on a unit area
brick:Pressure_Setpoint,,,,,quantitykind:Pressure,brick:Setpoint,,Sets pressure
brick:Pressure_Status,,,,,quantitykind:Pressure,brick:Status,,Indicates if pressure is within expected bounds
brick:Proportional_Band_Parameter,,,,,,brick:Proportional_Band_Parameter,,
brick:Proportional_Gain_Parameter,,,,,,brick:Proportional_Gain_Parameter,,
brick:Pump_Command,,brick:Pump,,,,brick:Command,,Controls or reports the speed of a pump (typically as a proportion of its full pumping capacity)
brick:Pump_On_Off_Status,,brick:Pump,,,brick:EnumerationKind-On_Off,brick:Status,,
brick:Pump_Status,,brick:Pump,,,,brick:Status,,Status of a pump
brick:PV_Current_Output_Sensor,,,,,,,(deprecated),See Photovoltaic_Current_Output_Sensor
brick:Radiant_Panel_Temperature_Sensor,,brick:Radiant_Panel,,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of the radiant panel of the radiant heating and cooling HVAC system.
brick:Radiant_Panel_Temperature_Setpoint,,brick:Radiant_Panel,,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of radiant panel.
brick:Radon_Concentration_Sensor,,,brick:Rn,,quantitykind:ActivityConcentration,brick:Sensor,,Measures the concentration of radioactivity due to radon
brick:Rain_Duration_Sensor,,,brick:Rain,,quantitykind:Time,brick:Sensor,,Measures the duration of precipitation within some time frame
brick:Rain_Level_Sensor,,,brick:Rain,,,brick:Sensor,Level,Measures the amount of precipitation fallen
brick:Rated_Speed_Setpoint,,,,,,,(deprecated),Sets rated speed
brick:Reactive_Energy_Sensor,,,,,quantitykind:Energy,brick:Sensor,Reactive,Measures the integral of reactive power
brick:Reactive_Power_Sensor,,,,,quantitykind:ReactivePower,brick:Sensor,,"Measures the portion of power that, averaged over a complete cycle of the AC waveform, is due to stored energy which returns to the source in each cycle"
brick:Refrigerant_Level_Sensor,,,brick:Refrigerant,,,brick:Sensor,Level,
brick:Reheat_Command,,brick:Reheat,,,,brick:Command,,"A command to activate reheating, which is used for either heating or for dehumidification purposes"
brick:Relative_Humidity_Sensor,,,,,quantitykind:RelativeHumidity,brick:Sensor,,Measures the present state of absolute humidity relative to a maximum humidity given the same temperature
brick:Relay_Command,,brick:Relay,,,,brick:Command,,Commands to switch the relay
brick:Remotely_On_Off_Status,,,,,,,(deprecated),
brick:Reset_Command,,,,,,brick:Reset_Command,,"Commands that reset a flag, property or value to its default"
brick:Reset_Setpoint,,,,,,brick:Reset_Setpoint,,Setpoints used in reset strategies
brick:Return_Air_CO_Sensor,,,brick:Return_Air,,,brick:Sensor,CO,Measures the concentration of CO in return air
brick:Return_Air_CO2_Sensor,,,brick:Return_Air,,,brick:Sensor,CO2,Measures the concentration of CO2 in return air
brick:Return_Air_CO2_Setpoint,,,brick:Return_Air,,,brick:Setpoint,CO2,Sets some property of CO2 in Return Air
brick:Return_Air_Dewpoint_Sensor,,,brick:Return_Air,,quantitykind:DewPointTemperature,brick:Sensor,,Senses the dewpoint temperature of return air
brick:Return_Air_Differential_Pressure_Sensor,,,brick:Return_Air,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the difference in pressure between the return and supply side
brick:Return_Air_Differential_Pressure_Setpoint,,,brick:Return_Air,brick:Differential,quantitykind:Pressure,brick:Setpoint,,Sets the target air differential pressure between an upstream and downstream point in a return air duct or conduit
brick:Return_Air_Enthalpy_Sensor,,,brick:Return_Air,,quantitykind:Enthalpy,brick:Sensor,,Measures the total heat content of return air
brick:Return_Air_Flow_Sensor,,,brick:Return_Air,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of return air
brick:Return_Air_Grains_Sensor,,,brick:Return_Air,,,brick:Sensor,Grains,Measures the mass of water vapor in return air
brick:Return_Air_Humidity_Sensor,,,brick:Return_Air,,quantitykind:RelativeHumidity,brick:Sensor,,Measures the relative humidity of return air
brick:Return_Air_Humidity_Setpoint,,,brick:Return_Air,,quantitykind:RelativeHumidity,brick:Setpoint,,Humidity setpoint for return air
brick:Return_Air_Temperature_Alarm,,,brick:Return_Air,,quantitykind:Temperature,brick:Alarm,,An alarm that indicates the off-normal conditions associated with the temperature of return air.
brick:Return_Air_Temperature_High_Reset_Setpoint,,,brick:Return_Air,,quantitykind:Temperature,brick:High_Reset_Setpoint,,
brick:Return_Air_Temperature_Low_Reset_Setpoint,,,brick:Return_Air,,quantitykind:Temperature,brick:Low_Reset_Setpoint,,
brick:Return_Air_Temperature_Sensor,,,brick:Return_Air,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of return air
brick:Return_Air_Temperature_Setpoint,,,brick:Return_Air,,quantitykind:Temperature,brick:Setpoint,,"The target temperature for return air, often used as an approximation of zone air temperature"
brick:Room_Air_Temperature_Sensor,,,brick:Room_Air,,quantitykind:Temperature,brick:Sensor,,
brick:Room_Air_Temperature_Setpoint,,,brick:Room_Air,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of room air
brick:Run_Enable_Command,,brick:Run,,,,brick:Enable_Command,,
brick:Run_Request_Status,,brick:Run,,,,brick:Status,Request,Indicates if a request has been filed to start a device or equipment
brick:Run_Status,,brick:Run,,,,brick:Status,,
brick:Run_Time_Sensor,,brick:Run,,,quantitykind:Time,brick:Sensor,,"Measures the duration for which a device was in an active or ""on"" state"
brick:Sash_Position_Sensor,,brick:Fume_Hood_Sash,,,,brick:Sensor,Position,Measures the current position of a sash in terms of the percent of fully open
brick:Schedule_Temperature_Setpoint,,,,,,,(deprecated),The current setpoint as indicated by the schedule
brick:Sensor,,,,,,brick:Sensor,,A Sensor is an input point that represents the value of a device or instrument designed to detect and measure a variable (ASHRAE Dictionary).
brick:Sensor_Failure_Alarm,,,,,,brick:Sensor_Failure_Alarm,,
brick:Setpoint,,,,,,brick:Setpoint,,A Setpoint is an input value at which the desired property is set
brick:Short_Cycle_Alarm,,,,,,brick:Short_Cycle_Alarm,,An alarm that indicates a short cycle occurred. A short cycle occurs when a cooling cycle is prevented from completing its full cycle
brick:Smoke_Alarm,,,brick:Smoke,,,brick:Alarm,,An alarm that indicates the off-normal conditions associated with smoke.
brick:Smoke_Detection_Alarm,,brick:Smoke_Detection,,,,brick:Alarm,,
brick:Soil_Temperature_Sensor,,,brick:Soil,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of soil
brick:Solar_Azimuth_Angle_Sensor,,,brick:Solar,,quantitykind:Azimuth,brick:Sensor,,Measures the azimuth angle of the sun
brick:Solar_Irradiance_Sensor,,,brick:Solar,,quantitykind:Irradiance,brick:Sensor,,Measures solar irradiance levels for photovoltaic systems
brick:Solar_Zenith_Angle_Sensor,,,brick:Solar,,quantitykind:Zenith,brick:Sensor,,Measures the zenith angle of the sun
brick:Speed_Command,,,,,quantitykind:Speed,brick:Command,,A command to set speed to a certain degree.
brick:Speed_Mode_Status,,,,,brick:EnumerationKind-Speed_Mode,brick:Status,,"Indicates the speed mode of a motor with various categorical settings, such as a multi-state value including low, medium, and high."
brick:Speed_Reset_Command,,,,,quantitykind:Speed,brick:Reset_Command,,
brick:Speed_Sensor,,,,,quantitykind:Speed,brick:Sensor,,Measures the magnitude of velocity of some form of movement
brick:Speed_Setpoint,,,,,quantitykind:Speed,brick:Setpoint,,Sets speed
brick:Speed_Setpoint_Limit,,,,,quantitykind:Speed,brick:Setpoint_Limit,,A parameter that places a lower or upper bound on the range of permitted values of a Speed_Setpoint.
brick:Stage_Enable_Command,,,,,brick:EnumerationKind-Stage,brick:Enable_Command,,A point representing a discrete stage which the equipment should be operating at. The desired stage number should be identified by an entity property
brick:Stages_Status,,,,,brick:EnumerationKind-Stage,brick:Status,,Indicates which stage a control loop or equipment is in
brick:Standby_Cooling_Zone_Air_Temperature_Setpoint,,,,,,,(deprecated),
brick:Standby_Glycool_Unit_On_Off_Status,,,,,,,(deprecated),Indicates the on/off status of a standby glycool unit
brick:Standby_Heating_Zone_Air_Temperature_Setpoint,,,,,,,(deprecated),
brick:Standby_Load_Shed_Command,,,,,,,(deprecated),
brick:Standby_Target_Zone_Air_Temperature_Setpoint,,,,,,,(deprecated),
brick:Standby_Unit_On_Off_Status,,,,,,,(deprecated),Indicates the on/off status of a standby unit
brick:Start_Stop_Command,,,,,brick:EnumerationKind-Start_Stop,brick:Command,,A Start/Stop Command controls or reports the active/inactive status of a control sequence
brick:Start_Stop_Status,,,,,brick:EnumerationKind-Start_Stop,brick:Status,,Indicates the active/inactive status of a control loop (but not equipment activities or relays -- use On/Off for this purpose)
brick:Static_Pressure_Deadband_Setpoint,,,,,quantitykind:StaticPressure,brick:Deadband_Setpoint,,Sets the size of a deadband of static pressure
brick:Static_Pressure_Integral_Time_Parameter,,,,,quantitykind:StaticPressure,brick:Integral_Time_Parameter,,
brick:Static_Pressure_Proportional_Band_Parameter,,,,,quantitykind:StaticPressure,brick:Proportional_Band_Parameter,,
brick:Static_Pressure_Sensor,,,,,quantitykind:StaticPressure,brick:Sensor,,Measures resistance to airflow in a heating and cooling system's components and duct work
brick:Static_Pressure_Setpoint,,,,,quantitykind:StaticPressure,brick:Setpoint,,Sets static pressure
brick:Static_Pressure_Setpoint_Limit,,,,,quantitykind:StaticPressure,brick:Setpoint_Limit,,A parameter that places a lower or upper bound on the range of permitted values of a Static_Pressure_Setpoint.
brick:Static_Pressure_Step_Parameter,,,,,quantitykind:StaticPressure,brick:Step_Parameter,,
brick:Status,,,,,,brick:Status,,"A Status is input point that reports the current operating mode, state, position, or condition of an item. Statuses are observations and should be considered 'read-only'"
brick:Steam_On_Off_Command,,,brick:Steam,,brick:EnumerationKind-On_Off,brick:Command,,
brick:Steam_Usage_Sensor,,,brick:Steam,,,brick:Usage_Sensor,,"Measures the amount of steam that is consumed or used, over some period of time"
brick:Step_Parameter,,,,,,brick:Step_Parameter,,
brick:Supply_Air_Dewpoint_Sensor,,,brick:Supply_Air,,quantitykind:DewPointTemperature,brick:Sensor,,
brick:Supply_Air_Differential_Pressure_Sensor,,,brick:Supply_Air,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the difference in pressure between an upstream and downstream of an air duct or other air conduit used to supply air into the building
brick:Supply_Air_Differential_Pressure_Setpoint,,,brick:Supply_Air,brick:Differential,quantitykind:Pressure,brick:Setpoint,,Sets the target air differential pressure between an upstream and downstream point in a supply air duct or conduit
brick:Supply_Air_Duct_Pressure_Status,,,,,,,(deprecated),Indicates if air pressure in supply duct is within expected bounds
brick:Supply_Air_Flow_Demand_Setpoint,,,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Demand_Setpoint,,Sets the rate of supply air flow required for a process
brick:Supply_Air_Flow_High_Reset_Setpoint,,,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:High_Reset_Setpoint,,
brick:Supply_Air_Flow_Low_Reset_Setpoint,,,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Low_Reset_Setpoint,,
brick:Supply_Air_Flow_Reset_Setpoint,,,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Reset_Setpoint,,
brick:Supply_Air_Flow_Sensor,,,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of supply air
brick:Supply_Air_Flow_Setpoint,,,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets supply air flow rate
brick:Supply_Air_Humidity_Sensor,,,brick:Supply_Air,,quantitykind:RelativeHumidity,brick:Sensor,,Measures the relative humidity of supply air
brick:Supply_Air_Humidity_Setpoint,,,brick:Supply_Air,,quantitykind:RelativeHumidity,brick:Setpoint,,Humidity setpoint for supply air
brick:Supply_Air_Integral_Gain_Parameter,,,brick:Supply_Air,,,brick:Integral_Gain_Parameter,,
brick:Supply_Air_Proportional_Gain_Parameter,,,brick:Supply_Air,,,brick:Proportional_Gain_Parameter,,
brick:Supply_Air_Smoke_Detection_Alarm,,brick:Smoke_Detection,brick:Supply_Air,,,brick:Alarm,,
brick:Supply_Air_Static_Pressure_Deadband_Setpoint,,,brick:Supply_Air,,quantitykind:StaticPressure,brick:Deadband_Setpoint,,Sets the size of a deadband of static pressure of supply air
brick:Supply_Air_Static_Pressure_Integral_Time_Parameter,,,brick:Supply_Air,,quantitykind:StaticPressure,brick:Integral_Time_Parameter,,
brick:Supply_Air_Static_Pressure_Proportional_Band_Parameter,,,brick:Supply_Air,,quantitykind:StaticPressure,brick:Proportional_Band_Parameter,,
brick:Supply_Air_Static_Pressure_Sensor,,,brick:Supply_Air,,quantitykind:StaticPressure,brick:Sensor,,The static pressure of air within supply regions of an HVAC system
brick:Supply_Air_Static_Pressure_Setpoint,,,brick:Supply_Air,,quantitykind:StaticPressure,brick:Setpoint,,Sets static pressure of supply air
brick:Supply_Air_Static_Pressure_Step_Parameter,,,brick:Supply_Air,,quantitykind:StaticPressure,brick:Step_Parameter,,
brick:Supply_Air_Temperature_Alarm,,,brick:Supply_Air,,quantitykind:Temperature,brick:Alarm,,An alarm that indicates the off-normal conditions associated with the temperature of supply air.
brick:Supply_Air_Temperature_Cooling_Setpoint,,brick:Cooling,brick:Supply_Air,,quantitykind:Temperature,brick:Setpoint,,
brick:Supply_Air_Temperature_Deadband_Setpoint,,,brick:Supply_Air,,quantitykind:Temperature,brick:Deadband_Setpoint,,Sets the size of a deadband of temperature of supply air
brick:Supply_Air_Temperature_Heating_Setpoint,,brick:Heating,brick:Supply_Air,,quantitykind:Temperature,brick:Setpoint,,
brick:Supply_Air_Temperature_High_Reset_Setpoint,,,brick:Supply_Air,,quantitykind:Temperature,brick:High_Reset_Setpoint,,
brick:Supply_Air_Temperature_Low_Reset_Setpoint,,,brick:Supply_Air,,quantitykind:Temperature,brick:Low_Reset_Setpoint,,
brick:Supply_Air_Temperature_Proportional_Band_Parameter,,,brick:Supply_Air,,quantitykind:Temperature,brick:Proportional_Band_Parameter,,
brick:Supply_Air_Temperature_Reset_Differential_Setpoint,,,brick:Supply_Air,brick:Differential,quantitykind:Temperature,brick:Reset_Setpoint,,
brick:Supply_Air_Temperature_Sensor,,,brick:Supply_Air,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of supply air
brick:Supply_Air_Temperature_Setpoint,,,brick:Supply_Air,,quantitykind:Temperature,brick:Setpoint,,Temperature setpoint for supply air
brick:Supply_Air_Temperature_Setpoint_Limit,,,brick:Supply_Air,,quantitykind:Temperature,brick:Setpoint_Limit,,A parameter that places a lower or upper bound on the range of permitted values of a Supply_Air_Temperature_Setpoint.
brick:Supply_Air_Temperature_Step_Parameter,,,brick:Supply_Air,,quantitykind:Temperature,brick:Step_Parameter,,
brick:Supply_Air_Velocity_Pressure_Sensor,,,brick:Supply_Air,,quantitykind:DynamicPressure,brick:Sensor,,
brick:Switch_Status,,brick:Switch,,,,brick:Status,,Status of a switch
brick:System_Enable_Command,,brick:System,,,,brick:Enable_Command,,Enables operation of a system
brick:System_Shutdown_Status,,brick:System,,,brick:EnumerationKind-Shutdown,brick:Status,,Indicates if a system has been shutdown
brick:System_Status,,brick:System,,,,brick:Status,,Indicates properties of the activity of a system
brick:Target_Zone_Air_Temperature_Setpoint,,,brick:Zone_Air,,quantitykind:Temperature,brick:Setpoint,Target,
brick:Temperature_Adjust_Sensor,,,,,,,(deprecated),Measures user-provided adjustment of temperature
brick:Temperature_Alarm,,,,,quantitykind:Temperature,brick:Alarm,,An alarm that indicates the off-normal conditions associated with temperature.
brick:Temperature_Alarm_Sensitivity_Parameter,,,,,quantitykind:Temperature,brick:Alarm_Sensitivity_Parameter,,A parameter indicates the sensitivity to activate a temperature alarm.
brick:Temperature_Deadband_Setpoint,,,,,quantitykind:Temperature,brick:Deadband_Setpoint,,Sets the size of a deadband of temperature
brick:Temperature_Differential_Reset_Setpoint,,,,brick:Differential,quantitykind:Temperature,brick:Reset_Setpoint,,
brick:Temperature_High_Reset_Setpoint,,,,,quantitykind:Temperature,brick:High_Reset_Setpoint,,
brick:Temperature_Low_Reset_Setpoint,,,,,quantitykind:Temperature,brick:Low_Reset_Setpoint,,
brick:Temperature_Parameter,,,,,quantitykind:Temperature,brick:Parameter,,Parameters relevant to temperature-related systems and points
brick:Temperature_Sensor,,,,,quantitykind:Temperature,brick:Sensor,,Measures temperature: the physical property of matter that quantitatively expresses the common notions of hot and cold
brick:Temperature_Setpoint,,,,,quantitykind:Temperature,brick:Setpoint,,Sets temperature
brick:Temperature_Step_Parameter,,,,,quantitykind:Temperature,brick:Step_Parameter,,
brick:Temperature_Tolerance_Parameter,,,,,quantitykind:Temperature,brick:Tolerance_Parameter,,A parameter determining the difference between upper and lower limits of temperature.
brick:Temporary_Occupancy_Status,,,,,,,(deprecated),"For systems that differentiate between scheduled occupied/unoccupied mode, this indicates if a space is temporarily occupied when it would otherwise be unoccupied"
brick:Thermal_Energy_Usage_Sensor,,,,,quantitykind:ThermalEnergy,brick:Usage_Sensor,,A sensor that records the quantity of thermal energy consumed in a given period
brick:Thermal_Power_Sensor,,,,,,,(deprecated),
brick:Thermostat_Status,,brick:Thermostat,,,,brick:Status,,Status of a thermostat
brick:Time_Parameter,,,,,quantitykind:Time,brick:Parameter,,
brick:Time_Setpoint,,,,,quantitykind:Time,brick:Setpoint,,
brick:Tint_Command,,,,,,brick:Command,Tint,The target level of window tint.
brick:Tint_Status,,,,,,brick:Status,Tint,"The current level of window tint, errors, or transient states."
brick:Tolerance_Parameter,,,,,,brick:Tolerance_Parameter,,difference between upper and lower limits of size for a given nominal dimension or value.
brick:Torque_Sensor,,,,,quantitykind:Torque,brick:Sensor,,"Measures torque, the tendency of a force to rotate an object about some axis"
brick:TVOC_Level_Sensor,,,brick:VOC,,,brick:Sensor,Level,A sensor measuring the level of all VOCs in air
brick:TVOC_Sensor,,,brick:VOC,,,brick:Sensor,,
